GO.ID	Term	Annotated	Significant	Expected	Rank in Fisher.classic	Fisher.classic	Fisher.weight01	ontology
GO:0010190	cytochrome b6f complex assembly	25	1	0.03	78	0.02993	0.0299	BP
GO:0016605	PML body	25	1	0.03	9	0.0297	0.03	CC
GO:0000439	transcription factor TFIIH core complex	26	1	0.03	10	0.0309	0.031	CC
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	27	1	0.03	36	0.03199	0.03199	MF
GO:0048226	Casparian strip	28	1	0.03	11	0.0332	0.033	CC
GO:0045597	positive regulation of cell differentiation	28	1	0.03	86	0.03346	0.0335	BP
GO:0016781	phosphotransferase activity, paired acceptors	29	1	0.03	38	0.03431	0.03431	MF
GO:0030870	Mre11 complex	30	1	0.04	12	0.0355	0.036	CC
GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	31	1	0.04	90	0.03698	0.037	BP
GO:0061575	cyclin-dependent protein serine/threonine kinase activator activity	33	1	0.04	41	0.03896	0.03896	MF
GO:0007021	tubulin complex assembly	33	1	0.04	94	0.03932	0.0393	BP
GO:0032147	activation of protein kinase activity	33	1	0.04	95	0.03932	0.0393	BP
GO:0098609	cell-cell adhesion	33	1	0.04	96	0.03932	0.0393	BP
GO:2000034	regulation of seed maturation	33	1	0.04	97	0.03932	0.0393	BP
GO:0007095	mitotic G2 DNA damage checkpoint	34	1	0.04	100	0.04049	0.0405	BP
GO:0060964	regulation of gene silencing by miRNA	34	1	0.04	101	0.04049	0.0405	BP
GO:0070370	cellular heat acclimation	34	1	0.04	102	0.04049	0.0405	BP
GO:0042868	antisense RNA metabolic process	36	1	0.04	105	0.04282	0.0428	BP
GO:1901703	protein localization involved in auxin polar transport	37	1	0.04	108	0.04398	0.044	BP
GO:0035371	microtubule plus-end	37	1	0.04	14	0.0436	0.044	CC
GO:0051233	spindle midzone	37	1	0.04	15	0.0436	0.044	CC
GO:0004181	metallocarboxypeptidase activity	38	1	0.05	46	0.04473	0.04473	MF
GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	38	1	0.05	109	0.04514	0.0451	BP
GO:0030295	protein kinase activator activity	84	2	0.1	2	0.00468	0.04539	MF
GO:0042500	aspartic endopeptidase activity, intramembrane cleaving	39	1	0.05	48	0.04588	0.04588	MF
GO:0003724	RNA helicase activity	662	3	0.8	49	0.04602	0.04602	MF
GO:0016441	posttranscriptional gene silencing	549	2	0.67	278	0.14381	0.0461	BP
GO:0000976	transcription regulatory region sequence-specific DNA binding	2102	6	2.53	44	0.04138	0.04624	MF
GO:0071479	cellular response to ionizing radiation	39	1	0.05	111	0.04630	0.0463	BP
GO:0090691	formation of plant organ boundary	40	1	0.05	112	0.04746	0.0475	BP
GO:2000067	regulation of root morphogenesis	40	1	0.05	113	0.04746	0.0475	BP
GO:0007155	cell adhesion	86	3	0.1	1	0.00016	0.0475	BP
GO:0006094	gluconeogenesis	287	2	0.35	114	0.04789	0.0479	BP
GO:0051010	microtubule plus-end binding	41	1	0.05	51	0.04817	0.04817	MF
GO:0008271	secondary active sulfate transmembrane transporter activity	42	1	0.05	52	0.04932	0.04932	MF
GO:0030026	cellular manganese ion homeostasis	42	1	0.05	115	0.04977	0.0498	BP
GO:0005675	transcription factor TFIIH holo complex	43	1	0.05	17	0.0505	0.051	CC
GO:0031047	gene silencing by RNA	815	3	0.99	163	0.07723	0.0514	BP
GO:1905421	regulation of plant organ morphogenesis	84	2	0.1	5	0.00476	0.0515	BP
GO:0033619	membrane protein proteolysis	44	1	0.05	122	0.05208	0.0521	BP
GO:0006869	lipid transport	696	3	0.85	123	0.05315	0.0531	BP
GO:0009640	photomorphogenesis	312	2	0.38	126	0.05553	0.0555	BP
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	49	1	0.06	59	0.05730	0.0573	MF
GO:1902358	sulfate transmembrane transport	49	1	0.06	128	0.05783	0.0578	BP
GO:0010227	floral organ abscission	50	1	0.06	129	0.05897	0.059	BP
GO:0033897	ribonuclease T2 activity	51	1	0.06	62	0.05957	0.05957	MF
GO:0060236	regulation of mitotic spindle organization	52	1	0.06	131	0.06126	0.0613	BP
GO:0010103	stomatal complex morphogenesis	54	1	0.07	134	0.06354	0.0635	BP
GO:0004656	procollagen-proline 4-dioxygenase activity	55	1	0.07	65	0.06409	0.06409	MF
GO:0005765	lysosomal membrane	57	1	0.07	21	0.0664	0.066	CC
GO:0046688	response to copper ion	57	1	0.07	140	0.06695	0.067	BP
GO:0004708	MAP kinase kinase activity	60	1	0.07	68	0.06971	0.06971	MF
GO:0090447	glycerol-3-phosphate 2-O-acyltransferase activity	60	1	0.07	69	0.06971	0.06971	MF
GO:0009944	polarity specification of adaxial/abaxial axis	60	1	0.07	143	0.07035	0.0703	BP
GO:0009579	thylakoid	2333	6	2.81	20	0.0628	0.071	CC
GO:0016272	prefoldin complex	61	1	0.07	23	0.0709	0.071	CC
GO:0005880	nuclear microtubule	62	1	0.07	24	0.0721	0.072	CC
GO:0019760	glucosinolate metabolic process	62	1	0.08	148	0.07261	0.0726	BP
GO:0045892	negative regulation of transcription, DNA-templated	795	3	0.97	152	0.07289	0.0729	BP
GO:0004556	alpha-amylase activity	63	1	0.08	73	0.07307	0.07307	MF
GO:0008250	oligosaccharyltransferase complex	64	1	0.08	25	0.0743	0.074	CC
GO:0009505	plant-type cell wall	457	3	0.55	4	0.0180	0.075	CC
GO:0010150	leaf senescence	373	2	0.45	156	0.07578	0.0758	BP
GO:0010082	regulation of root meristem growth	65	1	0.08	158	0.07599	0.076	BP
GO:0009793	embryo development ending in seed dormancy	1319	4	1.6	161	0.07710	0.0771	BP
GO:0052541	plant-type cell wall cellulose metabolic process	68	1	0.08	166	0.07935	0.0794	BP
GO:0080162	intracellular auxin transport	68	1	0.08	167	0.07935	0.0794	BP
GO:0031110	regulation of microtubule polymerization or depolymerization	69	1	0.08	169	0.08047	0.0805	BP
GO:0045893	positive regulation of transcription, DNA-templated	1646	5	2	117	0.05029	0.0811	BP
GO:0006552	leucine catabolic process	70	1	0.09	170	0.08159	0.0816	BP
GO:0005736	RNA polymerase I complex	71	1	0.09	26	0.0821	0.082	CC
GO:0004869	cysteine-type endopeptidase inhibitor activity	72	1	0.09	75	0.08306	0.08306	MF
GO:0050992	dimethylallyl diphosphate biosynthetic process	72	1	0.09	175	0.08382	0.0838	BP
GO:1902584	positive regulation of response to water deprivation	72	1	0.09	176	0.08382	0.0838	BP
GO:0000987	cis-regulatory region sequence-specific DNA binding	826	2	0.99	133	0.26192	0.08408	MF
GO:0009691	cytokinin biosynthetic process	73	1	0.09	182	0.08493	0.0849	BP
GO:0004791	thioredoxin-disulfide reductase activity	74	1	0.09	76	0.08527	0.08527	MF
GO:2001070	starch binding	74	1	0.09	77	0.08527	0.08527	MF
GO:0061157	mRNA destabilization	74	1	0.09	184	0.08605	0.086	BP
GO:0004526	ribonuclease P activity	77	1	0.09	81	0.08857	0.08857	MF
GO:0009553	embryo sac development	426	2	0.52	199	0.09497	0.095	BP
GO:0070417	cellular response to cold	84	1	0.1	201	0.09710	0.0971	BP
GO:0005092	GDP-dissociation inhibitor activity	85	1	0.1	82	0.09732	0.09732	MF
GO:0005987	sucrose catabolic process	85	1	0.1	202	0.09820	0.0982	BP
GO:0071577	zinc ion transmembrane transport	85	1	0.1	203	0.09820	0.0982	BP
GO:0005385	zinc ion transmembrane transporter activity	86	1	0.1	84	0.09840	0.0984	MF
GO:0008970	phospholipase A1 activity	86	1	0.1	85	0.09840	0.0984	MF
GO:0008519	ammonium transmembrane transporter activity	87	1	0.1	86	0.09949	0.09949	MF
GO:0072488	ammonium transmembrane transport	87	1	0.11	207	0.10039	0.1004	BP
GO:0036402	proteasome-activating ATPase activity	89	1	0.11	87	0.10166	0.10166	MF
GO:0031902	late endosome membrane	89	1	0.11	32	0.1018	0.102	CC
GO:1903827	regulation of cellular protein localization	89	1	0.11	214	0.10257	0.1026	BP
GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	90	1	0.11	88	0.10274	0.10274	MF
GO:0006379	mRNA cleavage	90	1	0.11	216	0.10367	0.1037	BP
GO:0090307	mitotic spindle assembly	90	1	0.11	217	0.10367	0.1037	BP
GO:0048029	monosaccharide binding	279	2	0.34	47	0.04478	0.10401	MF
GO:0006360	transcription by RNA polymerase I	92	1	0.11	221	0.10584	0.1058	BP
GO:0008540	proteasome regulatory particle, base subcomplex	94	1	0.11	33	0.1072	0.107	CC
GO:0048471	perinuclear region of cytoplasm	97	1	0.12	35	0.1104	0.11	CC
GO:0043248	proteasome assembly	100	1	0.12	236	0.11451	0.1145	BP
GO:0050801	ion homeostasis	1167	3	1.42	317	0.16940	0.1157	BP
GO:0016757	transferase activity, transferring glycosyl groups	4621	5	5.56	247	0.65973	0.11624	MF
GO:0010287	plastoglobule	104	1	0.13	36	0.1179	0.118	CC
GO:0006312	mitotic recombination	104	1	0.13	239	0.11881	0.1188	BP
GO:0032958	inositol phosphate biosynthetic process	104	1	0.13	240	0.11881	0.1188	BP
GO:0005315	inorganic phosphate transmembrane transporter activity	105	1	0.13	96	0.11882	0.11882	MF
GO:0010143	cutin biosynthetic process	106	1	0.13	245	0.12095	0.121	BP
GO:0031930	mitochondria-nucleus signaling pathway	106	1	0.13	246	0.12095	0.121	BP
GO:0000165	MAPK cascade	503	2	0.61	251	0.12495	0.1249	BP
GO:0009631	cold acclimation	110	1	0.13	253	0.12522	0.1252	BP
GO:0010008	endosome membrane	603	3	0.73	13	0.0367	0.126	CC
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	116	1	0.14	99	0.13043	0.13043	MF
GO:0004445	inositol-polyphosphate 5-phosphatase activity	123	1	0.15	102	0.13774	0.13774	MF
GO:0009504	cell plate	124	1	0.15	38	0.1390	0.139	CC
GO:0048544	recognition of pollen	539	2	0.65	272	0.13966	0.1397	BP
GO:0048481	plant ovule development	127	1	0.15	275	0.14314	0.1431	BP
GO:0072686	mitotic spindle	129	1	0.16	40	0.1442	0.144	CC
GO:0071421	manganese ion transmembrane transport	129	1	0.16	280	0.14522	0.1452	BP
GO:0016407	acetyltransferase activity	867	3	1.04	79	0.08717	0.1482	MF
GO:1901002	positive regulation of response to salt stress	134	1	0.16	290	0.15041	0.1504	BP
GO:0002181	cytoplasmic translation	566	2	0.69	293	0.15093	0.1509	BP
GO:0008175	tRNA methyltransferase activity	152	2	0.18	16	0.01461	0.1516	MF
GO:0005886	plasma membrane	7895	13	9.51	42	0.1522	0.152	CC
GO:0010074	maintenance of meristem identity	137	1	0.17	297	0.15351	0.1535	BP
GO:0003714	transcription corepressor activity	144	1	0.17	113	0.15930	0.1593	MF
GO:0043622	cortical microtubule organization	144	1	0.17	304	0.16069	0.1607	BP
GO:0006508	proteolysis	7802	12	9.48	399	0.23522	0.1621	BP
GO:0042744	hydrogen peroxide catabolic process	594	2	0.72	309	0.16280	0.1628	BP
GO:0050832	defense response to fungus	1150	3	1.4	311	0.16438	0.1644	BP
GO:0051260	protein homooligomerization	157	1	0.19	322	0.17387	0.1739	BP
GO:0098869	cellular oxidant detoxification	1186	3	1.44	326	0.17506	0.1751	BP
GO:0012507	ER to Golgi transport vesicle membrane	161	1	0.19	44	0.1766	0.177	CC
GO:0010073	meristem maintenance	405	2	0.49	188	0.08720	0.1825	BP
GO:0006401	RNA catabolic process	906	2	1.1	495	0.30135	0.1857	BP
GO:0004190	aspartic-type endopeptidase activity	717	3	0.86	57	0.05584	0.19326	MF
GO:0031418	L-ascorbic acid binding	187	1	0.22	123	0.20181	0.20181	MF
GO:0032786	positive regulation of DNA-templated transcription, elongation	188	1	0.23	362	0.20449	0.2045	BP
GO:0000502	proteasome complex	877	3	1.06	30	0.0898	0.206	CC
GO:0046855	inositol phosphate dephosphorylation	191	1	0.23	364	0.20740	0.2074	BP
GO:0005881	cytoplasmic microtubule	199	1	0.24	50	0.2136	0.214	CC
GO:0071370	cellular response to gibberellin stimulus	199	1	0.24	374	0.21509	0.2151	BP
GO:0031201	SNARE complex	202	1	0.24	51	0.2164	0.216	CC
GO:0007264	small GTPase mediated signal transduction	201	1	0.24	375	0.21700	0.217	BP
GO:0006874	cellular calcium ion homeostasis	202	1	0.25	378	0.21795	0.218	BP
GO:0005770	late endosome	295	2	0.36	16	0.0496	0.218	CC
GO:0005815	microtubule organizing center	207	1	0.25	53	0.2211	0.221	CC
GO:0009739	response to gibberellin	407	2	0.49	189	0.08794	0.2219	BP
GO:0009522	photosystem I	211	1	0.25	54	0.2249	0.225	CC
GO:0005576	extracellular region	3325	6	4.01	49	0.2121	0.227	CC
GO:0051225	spindle assembly	307	2	0.37	124	0.05397	0.23	BP
GO:0030488	tRNA methylation	236	2	0.29	87	0.03365	0.2307	BP
GO:0009088	threonine biosynthetic process	216	1	0.26	396	0.23118	0.2312	BP
GO:0046854	phosphatidylinositol phosphorylation	216	1	0.26	397	0.23118	0.2312	BP
GO:0051641	cellular localization	5111	4	6.21	849	0.87622	0.2321	BP
GO:0005484	SNAP receptor activity	221	1	0.27	128	0.23390	0.2339	MF
GO:0080147	root hair cell development	225	1	0.27	402	0.23957	0.2396	BP
GO:0010597	green leaf volatile biosynthetic process	228	1	0.28	410	0.24235	0.2423	BP
GO:0097502	mannosylation	228	1	0.28	411	0.24235	0.2423	BP
GO:0006906	vesicle fusion	229	1	0.28	413	0.24327	0.2433	BP
GO:0006487	protein N-linked glycosylation	233	1	0.28	415	0.24695	0.247	BP
GO:0033612	receptor serine/threonine kinase binding	238	1	0.29	131	0.24947	0.24947	MF
GO:0009965	leaf morphogenesis	239	1	0.29	420	0.25244	0.2524	BP
GO:0046856	phosphatidylinositol dephosphorylation	243	1	0.3	423	0.25608	0.2561	BP
GO:1901800	positive regulation of proteasomal protein catabolic process	243	1	0.3	424	0.25608	0.2561	BP
GO:0090376	seed trichome differentiation	245	1	0.3	428	0.25789	0.2579	BP
GO:2000028	regulation of photoperiodism, flowering	246	1	0.3	430	0.25880	0.2588	BP
GO:0051302	regulation of cell division	250	1	0.3	436	0.26240	0.2624	BP
GO:0031124	mRNA 3'-end processing	255	1	0.31	440	0.26689	0.2669	BP
GO:0003993	acid phosphatase activity	260	1	0.31	135	0.26915	0.26915	MF
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	259	1	0.31	445	0.27046	0.2705	BP
GO:0035672	oligopeptide transmembrane transport	261	1	0.32	448	0.27223	0.2722	BP
GO:0010951	negative regulation of endopeptidase activity	280	1	0.34	471	0.28891	0.2889	BP
GO:0035673	oligopeptide transmembrane transporter activity	283	1	0.34	140	0.28919	0.28919	MF
GO:0000911	cytokinesis by cell plate formation	282	1	0.34	474	0.29064	0.2906	BP
GO:0019901	protein kinase binding	285	1	0.34	141	0.29090	0.2909	MF
GO:0009834	plant-type secondary cell wall biogenesis	283	1	0.34	476	0.29151	0.2915	BP
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	1565	3	1.9	483	0.29613	0.2961	BP
GO:0004709	MAP kinase kinase kinase activity	292	1	0.35	143	0.29688	0.29688	MF
GO:0006486	protein glycosylation	1138	3	1.38	305	0.16086	0.2974	BP
GO:0006004	fucose metabolic process	292	1	0.35	490	0.29925	0.2992	BP
GO:0001558	regulation of cell growth	293	1	0.36	493	0.30010	0.3001	BP
GO:0016413	O-acetyltransferase activity	298	1	0.36	145	0.30196	0.30196	MF
GO:0050790	regulation of catalytic activity	2738	5	3.33	401	0.23940	0.3023	BP
GO:0006357	regulation of transcription by RNA polymerase II	2360	4	2.87	514	0.32226	0.303	BP
GO:0009664	plant-type cell wall organization	454	2	0.55	220	0.10561	0.3103	BP
GO:0051156	glucose 6-phosphate metabolic process	310	1	0.38	509	0.31447	0.3145	BP
GO:0003729	mRNA binding	3104	5	3.73	146	0.31822	0.31822	MF
GO:0000226	microtubule cytoskeleton organization	992	4	1.2	85	0.03296	0.3247	BP
GO:0000149	SNARE binding	326	1	0.39	151	0.32519	0.32519	MF
GO:0006665	sphingolipid metabolic process	323	1	0.39	516	0.32527	0.3253	BP
GO:0006353	DNA-templated transcription, termination	326	1	0.4	520	0.32774	0.3277	BP
GO:0010035	response to inorganic substance	2202	5	2.67	261	0.12999	0.3357	BP
GO:0004185	serine-type carboxypeptidase activity	342	1	0.41	154	0.33812	0.33812	MF
GO:0007131	reciprocal meiotic recombination	357	1	0.43	544	0.35271	0.3527	BP
GO:0043621	protein self-association	362	1	0.44	159	0.35395	0.35395	MF
GO:0006979	response to oxidative stress	1674	3	2.03	530	0.33238	0.3587	BP
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	375	1	0.46	553	0.36679	0.3668	BP
GO:0009451	RNA modification	2041	5	2.48	215	0.10286	0.3695	BP
GO:0006468	protein phosphorylation	8601	13	10.45	406	0.24134	0.3714	BP
GO:0008408	3'-5' exonuclease activity	388	1	0.47	164	0.37396	0.37396	MF
GO:0008033	tRNA processing	1038	4	1.26	93	0.03793	0.3748	BP
GO:0030660	Golgi-associated vesicle membrane	556	2	0.67	41	0.1449	0.377	CC
GO:0009535	chloroplast thylakoid membrane	1087	2	1.31	69	0.3775	0.378	CC
GO:0005096	GTPase activator activity	395	1	0.48	165	0.37924	0.37924	MF
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	394	1	0.48	565	0.38132	0.3813	BP
GO:0006400	tRNA modification	642	3	0.78	107	0.04365	0.3841	BP
GO:0009055	electron transfer activity	1128	2	1.36	171	0.39431	0.39431	MF
GO:0009536	plastid	10604	10	12.78	113	0.8397	0.399	CC
GO:0006096	glycolytic process	1133	2	1.38	580	0.40102	0.401	BP
GO:0009734	auxin-activated signaling pathway	1133	2	1.38	581	0.40102	0.401	BP
GO:0006289	nucleotide-excision repair	433	1	0.53	594	0.41013	0.4101	BP
GO:0009908	flower development	1512	4	1.84	234	0.11237	0.4108	BP
GO:0051301	cell division	1862	4	2.26	341	0.19071	0.4127	BP
GO:0004197	cysteine-type endopeptidase activity	442	1	0.53	176	0.41358	0.41358	MF
GO:0042277	peptide binding	444	1	0.53	177	0.41500	0.415	MF
GO:0003684	damaged DNA binding	453	1	0.54	181	0.42134	0.42134	MF
GO:0004222	metalloendopeptidase activity	455	1	0.55	184	0.42274	0.42274	MF
GO:0007010	cytoskeleton organization	1821	5	2.21	145	0.07103	0.4283	BP
GO:0006397	mRNA processing	2239	4	2.72	472	0.28907	0.4291	BP
GO:0004714	transmembrane receptor protein tyrosine kinase activity	469	1	0.56	185	0.43245	0.43245	MF
GO:0003700	DNA-binding transcription factor activity	4519	6	5.44	199	0.46266	0.43284	MF
GO:0009820	alkaloid metabolic process	466	1	0.57	609	0.43347	0.4335	BP
GO:0005509	calcium ion binding	2008	3	2.42	186	0.43600	0.436	MF
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	479	1	0.58	189	0.43928	0.43928	MF
GO:0006865	amino acid transport	477	1	0.58	612	0.44104	0.441	BP
GO:0050896	response to stimulus	25730	30	31.25	733	0.65046	0.4431	BP
GO:0016020	membrane	56814	72	68.46	52	0.2203	0.451	CC
GO:0043130	ubiquitin binding	498	1	0.6	197	0.45205	0.45205	MF
GO:0016579	protein deubiquitination	519	1	0.63	628	0.46905	0.469	BP
GO:0000139	Golgi membrane	2114	3	2.55	85	0.4704	0.47	CC
GO:0046872	metal ion binding	19457	20	23.41	278	0.82734	0.47909	MF
GO:0004843	thiol-dependent ubiquitin-specific protease activity	545	1	0.66	205	0.48240	0.4824	MF
GO:0006817	phosphate ion transport	542	1	0.66	642	0.48380	0.4838	BP
GO:0003676	nucleic acid binding	24013	31	28.89	158	0.35289	0.4936	MF
GO:0006417	regulation of translation	873	2	1.06	467	0.28654	0.5064	BP
GO:0004672	protein kinase activity	9060	11	10.9	221	0.53549	0.50684	MF
GO:0051539	4 iron, 4 sulfur cluster binding	601	1	0.72	214	0.51641	0.51641	MF
GO:0005615	extracellular space	613	1	0.74	92	0.5239	0.524	CC
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	616	1	0.74	217	0.52513	0.52513	MF
GO:0005773	vacuole	1846	3	2.22	73	0.3846	0.533	CC
GO:0005794	Golgi apparatus	4464	6	5.38	82	0.4523	0.538	CC
GO:0009738	abscisic acid-activated signaling pathway	647	1	0.79	671	0.54614	0.5461	BP
GO:0032508	DNA duplex unwinding	1500	2	1.82	672	0.54641	0.5464	BP
GO:0048364	root development	1508	4	1.83	231	0.11157	0.5501	BP
GO:0006810	transport	16117	17	19.57	792	0.78382	0.5544	BP
GO:0008219	cell death	663	1	0.81	679	0.55496	0.555	BP
GO:0016571	histone methylation	679	1	0.82	682	0.56361	0.5636	BP
GO:1901698	response to nitrogen compound	680	1	0.83	683	0.56415	0.5641	BP
GO:0003677	DNA binding	12565	16	15.12	192	0.44476	0.56411	MF
GO:0009723	response to ethylene	688	1	0.84	687	0.56841	0.5684	BP
GO:0016791	phosphatase activity	2698	4	3.25	175	0.40874	0.56971	MF
GO:0000724	double-strand break repair via homologous recombination	691	1	0.84	691	0.56999	0.57	BP
GO:0009733	response to auxin	1864	3	2.26	576	0.39534	0.5732	BP
GO:0005759	mitochondrial matrix	716	1	0.86	95	0.5800	0.58	CC
GO:0015293	symporter activity	722	1	0.87	228	0.58252	0.58252	MF
GO:0008233	peptidase activity	6037	10	7.26	118	0.18860	0.58253	MF
GO:0016301	kinase activity	12679	17	15.25	157	0.35273	0.58453	MF
GO:0035091	phosphatidylinositol binding	728	1	0.88	229	0.58555	0.58555	MF
GO:0005524	ATP binding	16197	19	19.49	230	0.59141	0.59141	MF
GO:0003779	actin binding	741	1	0.89	231	0.59205	0.59205	MF
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	753	1	0.91	234	0.59797	0.59797	MF
GO:0045944	positive regulation of transcription by RNA polymerase II	773	1	0.94	717	0.61119	0.6112	BP
GO:0008654	phospholipid biosynthetic process	1154	2	1.4	593	0.40994	0.6149	BP
GO:0022900	electron transport chain	1710	2	2.08	719	0.61806	0.6181	BP
